username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-12-13 16:57;0;0;"# ChiefDigitalOfficers claim that collaboration and hiring top talent are the keys to success. Check out the # CDO survey report to know more. Download Report: https://okt.to/9P1gt2 # DigitalTransformationpic.twitter.com/MombzkHDPd";;;# # #;"1205471692233072640";https://twitter.com/Mindtree_Ltd/status/1205471692233072640
;2019-12-13 15:50;1;0;"Mindtree achieved specialization in # Adobe Experience Manager Run & Operate in Americas region. https://twitter.com/AdobePartner/status/1202634163767169025 …pic.twitter.com/sPxjQSc22m";;;#;"1205454835144888320";https://twitter.com/Mindtree_Ltd/status/1205454835144888320
;2019-12-13 14:32;5;6;"# Insurtech companies operate their business in a way that is different compared to traditional insurance companies, with the help of technological advancements such as # ArtificialIntelligence, # BigData, Internet of things ( # IoT). Learn more:https://okt.to/Vp8XL0";;;# # # #;"1205435195660414976";https://twitter.com/Mindtree_Ltd/status/1205435195660414976
;2019-12-13 12:16;0;1;"Our AR/VR/MR/XR center for Immersive Technologies is all set for launch. Watch this space for more!pic.twitter.com/GPHslVbtch";;;;"1205400973318987776";https://twitter.com/Mindtree_Ltd/status/1205400973318987776
;2019-12-12 18:37;0;1;"Making the digital experience more enjoyable and usable is critical for the # ChiefDigitalOfficer. Find out how they’re performing by downloading our # CDO Survey Report. https://okt.to/4rqWNR # DigitalTransfomationpic.twitter.com/wsmjUhsJZ5";;;# # #;"1205134468266287104";https://twitter.com/Mindtree_Ltd/status/1205134468266287104
;2019-12-12 11:31;1;4;"Mindtree recognized for excellence in operations at 6th @ IDC Insights Awards 2019, for # MWatch - our flagship platform that aids in consistent delivery and optimized infrastructure operations services through automation. Read on: https://okt.to/WBgcm8 pic.twitter.com/IRnPlMtNhy";;@;#;"1205027260748771329";https://twitter.com/Mindtree_Ltd/status/1205027260748771329
;2019-12-12 10:04;1;1;"We are inaugurating our # ImmersiveAurora (AR/VR CoE) on December 17th. Stay tuned!pic.twitter.com/SnQvDXh3dv";;;#;"1205005369715625985";https://twitter.com/Mindtree_Ltd/status/1205005369715625985
;2019-12-11 19:27;3;11;"Traditional CIO vs. today’s CDO. Do business leaders believe the roles are distinct? Download our Chief Digital Officer survey report to find out. https://okt.to/DVyBtN # DigitalTransformation # CDO # ChiefDigitalOfficerpic.twitter.com/pfmxoLdDee";;;# # #;"1204784673026707458";https://twitter.com/Mindtree_Ltd/status/1204784673026707458
;2019-12-11 16:12;0;0;"Know how # Murex on the # cloud can help employees closely monitor and manage usage, and scale up or down with fluctuating volumes & repetitive workloads. Read on: https://okt.to/t3xEGh pic.twitter.com/omq5eELI3R";;;# #;"1204735626416918528";https://twitter.com/Mindtree_Ltd/status/1204735626416918528
;2019-12-11 11:46;3;6;"We published the results of our survey investigating the impact of the # ChiefDigitalOfficer within a firm - read more about the results here: https://okt.to/BmMJ4s | @ testmagazine";;@;#;"1204668651426787328";https://twitter.com/Mindtree_Ltd/status/1204668651426787328
;2019-12-11 10:09;3;6;"It is time to infuse life into possibilities. ‘Immersive Aurora’ is launching soon!pic.twitter.com/SEZsGW5Vi8";;;;"1204644234986491905";https://twitter.com/Mindtree_Ltd/status/1204644234986491905
;2019-12-10 23:01;2;2;"# ChiefDigitalOfficers are facing tough challenges like a change-resistant culture and the lack of skills in emerging tech like # AI and # Blockchain. Read our # CDO survey report to learn more. https://okt.to/4rUESW pic.twitter.com/fxQ6gFbDDi";;;# # # #;"1204476269662023680";https://twitter.com/Mindtree_Ltd/status/1204476269662023680
;2019-12-10 22:24;1;4;"According to our latest survey, # ChiefDigitalOfficers present an effective change and positive impact when it comes to # digitaltransformation - read more in about the results in: https://okt.to/joGz0n | @ IT_SupplyChainpic.twitter.com/MF7SqJdQwX";;@;# #;"1204466823627968519";https://twitter.com/Mindtree_Ltd/status/1204466823627968519
;2019-12-10 19:13;0;2;"With technology change accelerating, the CDO needs to master technologies like # cloud & # AI and deeply understand the business to be successful. Know more: https://okt.to/EenaUJ | # ChiefDigitalOfficer | @ InformationAge";;@;# # #;"1204418755154939905";https://twitter.com/Mindtree_Ltd/status/1204418755154939905
;2019-12-10 17:08;1;3;"Are you ready to embrace the Product IT Operating Model that transitions you to a customer-centric model and accelerates innovation? Read on: https://okt.to/ZhkEvr | # SHIFTtoProductIT | @ devopsdotcompic.twitter.com/H1gcHLxKHV";;@;#;"1204387294846828544";https://twitter.com/Mindtree_Ltd/status/1204387294846828544
;2019-12-10 15:24;2;13;"Welcoming the 19th Infrastructure & Testing Services freshers batch to # Mindtree # Kalinga. This is the largest IMTS batch to have joined us so far | # WelcomeToPossiblepic.twitter.com/Vk6RVEtd0a";;;# # #;"1204361123933409280";https://twitter.com/Mindtree_Ltd/status/1204361123933409280
;2019-12-10 13:53;3;3;"How effective have # ChiefDigitalOfficers been in achieving real change – not only changing their front- & back-end technologies to be more data-driven & customer-centric, but also changing their organization’s culture to adjust to the times? Learn more - https://okt.to/fAYXeD pic.twitter.com/wNP4bWOgca";;;#;"1204338222542835712";https://twitter.com/Mindtree_Ltd/status/1204338222542835712
;2019-12-09 16:27;0;7;"Robotic Process Automation ( # RPA) is one of the key disruptive technologies that is transforming the way investment and asset management operations are carried out daily.https://okt.to/mhELzQ";;;#;"1204014588498456581";https://twitter.com/Mindtree_Ltd/status/1204014588498456581
;2019-12-09 10:25;1;2;"Download report # Murex on the # Cloud to find out why companies are inching towards a more secure, sophisticated, and efficient cloud platform - https://okt.to/AZD3Kw pic.twitter.com/x1QWvXZp2b";;;# #;"1203923490329509888";https://twitter.com/Mindtree_Ltd/status/1203923490329509888
;2019-12-07 13:58;2;6;"Mindtree selected as the winner at the 6th # IDC Insights Awards 2019 under the category # Excellence in # Operations. Jaganath R. receives this award for our flagship platform # MWatch | @ IDCpic.twitter.com/HPG0QOYdMV";;@;# # # #;"1203252319497969664";https://twitter.com/Mindtree_Ltd/status/1203252319497969664
